DATA PGTO;SUBELEMENTO_DESPESA;CDIC
24/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
24/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
24/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
24/01/2019;MATERIAL DE COPA E COZINHA;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
24/01/2019;MATERIAL DE LIMPEZA E PROD. DE HIGIENIZAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
24/01/2019;MATERIAL DE ACONDICIONAMENTO E EMBALAGEM;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
26/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
26/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
26/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
26/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
26/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
26/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
23/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
23/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
23/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
23/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
23/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
23/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
22/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
22/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
22/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
22/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
22/01/2019;APARELHOS E UTENS÷LIOS DOMêSTICOS;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
21/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
21/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
21/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
21/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
19/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
19/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
19/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
19/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
19/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
19/01/2019;MATERIAL DE COPA E COZINHA;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
18/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
18/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
18/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
18/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
18/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
18/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
18/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
18/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
18/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
17/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
17/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
17/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
17/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
17/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
17/01/2019;MATERIAL DE PROTEÄ«O E SEGURANÄA;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
17/01/2019;MATERIAL DE ACONDICIONAMENTO E EMBALAGEM;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
16/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
16/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
16/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
16/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
16/01/2019;MATERIAL DE LIMPEZA E PROD. DE HIGIENIZAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
16/01/2019;MATERIAL DE LIMPEZA E PROD. DE HIGIENIZAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
15/01/2019;MATERIAL HOSPITALAR;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
15/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
15/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
15/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
15/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
15/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
15/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
15/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
15/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
12/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
12/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
12/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
12/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
14/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
14/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
14/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
14/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
14/01/2019;MATERIAL FARMACOLOGICO;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
14/01/2019;MATERIAL FARMACOLOGICO;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
14/01/2019;MATERIAL HOSPITALAR;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
11/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
11/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
11/01/2019;MATERIAL DE ACONDICIONAMENTO E EMBALAGEM;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
11/01/2019;MATERIAL DE ACONDICIONAMENTO E EMBALAGEM;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
11/01/2019;MATERIAL DE ACONDICIONAMENTO E EMBALAGEM;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
11/01/2019;MATERIAL DE ACONDICIONAMENTO E EMBALAGEM;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
11/01/2019;MATERIAL DE ACONDICIONAMENTO E EMBALAGEM;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
11/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
11/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
11/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
11/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
11/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
11/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
11/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
11/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
11/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
11/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
10/01/2019;MATERIAL DE EXPEDIENTE;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
10/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
10/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
10/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
10/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
10/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
10/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
10/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
09/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
09/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
09/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
09/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
09/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
09/01/2019;MATERIAL DE LIMPEZA E PROD. DE HIGIENIZAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
09/01/2019;MATERIAL DE LIMPEZA E PROD. DE HIGIENIZAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
09/01/2019;MATERIAL DE ACONDICIONAMENTO E EMBALAGEM;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
09/01/2019;MATERIAL DE ACONDICIONAMENTO E EMBALAGEM;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
09/01/2019;MATERIAL DE ACONDICIONAMENTO E EMBALAGEM;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
09/01/2019;MATERIAL DE SINALIZAÄ«O VISUAL E OUTROS;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
08/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
08/01/2019;MATERIAL DE CAMA,MESA E BANHO;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
08/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
08/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
08/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
08/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
08/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
08/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
07/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
07/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
07/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
07/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
07/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
07/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
07/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
07/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
07/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
07/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
07/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
07/01/2019;MATERIAL DE LIMPEZA E PROD. DE HIGIENIZAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
05/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
05/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
05/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
05/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
05/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
05/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
05/01/2019;MATERIAL DE COPA E COZINHA;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
04/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
04/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
04/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
04/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
04/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
26/01/2019;HOSPEDAGENS;00150.000007/2019-26.R.08.03/01/2019.31/12/2022.N
17/01/2019;SERV.DE APOIO ADMIN.,TECNICO E OPERACIONAL;00150.000007/2019-26.R.08.03/01/2019.31/12/2022.N
21/01/2019;SERV.DE APOIO ADMIN.,TECNICO E OPERACIONAL;00150.000007/2019-26.R.08.03/01/2019.31/12/2022.N
21/01/2019;SERV.DE APOIO ADMIN.,TECNICO E OPERACIONAL;00150.000007/2019-26.R.08.03/01/2019.31/12/2022.N
21/01/2019;SERV.DE APOIO ADMIN.,TECNICO E OPERACIONAL;00150.000007/2019-26.R.08.03/01/2019.31/12/2022.N
21/01/2019;SERV.DE APOIO ADMIN.,TECNICO E OPERACIONAL;00150.000007/2019-26.R.08.03/01/2019.31/12/2022.N
26/01/2019;FORNECIMENTO DE ALIMENTAÄ«O;00150.000007/2019-26.R.08.03/01/2019.31/12/2022.N
26/01/2019;FORNECIMENTO DE ALIMENTAÄ«O;00150.000007/2019-26.R.08.03/01/2019.31/12/2022.N
11/01/2019;SERV.DE APOIO ADMIN.,TECNICO E OPERACIONAL;00150.000016/2019-17.R.08.04/01/2019.31/12/2022.N
18/01/2019;SERV.DE APOIO ADMIN.,TECNICO E OPERACIONAL;00150.000016/2019-17.R.08.04/01/2019.31/12/2022.N
16/01/2019;SERV.DE APOIO ADMIN.,TECNICO E OPERACIONAL;00150.000016/2019-17.R.08.04/01/2019.31/12/2022.N
16/01/2019;SERV.DE APOIO ADMIN.,TECNICO E OPERACIONAL;00150.000016/2019-17.R.08.04/01/2019.31/12/2022.N
16/01/2019;SERV.DE APOIO ADMIN.,TECNICO E OPERACIONAL;00150.000016/2019-17.R.08.04/01/2019.31/12/2022.N
16/01/2019;SERV.DE APOIO ADMIN.,TECNICO E OPERACIONAL;00150.000016/2019-17.R.08.04/01/2019.31/12/2022.N
11/01/2019;SERV.DE APOIO ADMIN.,TECNICO E OPERACIONAL;00150.000016/2019-17.R.08.04/01/2019.31/12/2022.N
11/01/2019;SERV.DE APOIO ADMIN.,TECNICO E OPERACIONAL;00150.000016/2019-17.R.08.04/01/2019.31/12/2022.N
12/01/2019;HOSPEDAGENS;00150.000018/2019-14.R.08.07/01/2019.31/12/2022.N
12/01/2019;HOSPEDAGENS;00150.000018/2019-14.R.08.07/01/2019.31/12/2022.N
21/01/2019;HOSPEDAGENS;00150.000018/2019-14.R.08.07/01/2019.31/12/2022.N
25/01/2019;HOSPEDAGENS;00150.000018/2019-14.R.08.07/01/2019.31/12/2022.N
01/01/2019;HOSPEDAGENS;00150.001362/2018-31.R.08.26/12/2018.31/12/2022.N
01/01/2019;HOSPEDAGENS;00150.001362/2018-31.R.08.26/12/2018.31/12/2022.N
01/01/2019;FORNECIMENTO DE ALIMENTAÄ«O;00150.001362/2018-31.R.08.26/12/2018.31/12/2022.N
01/01/2019;MATERIAL BIBLIOGRµFICO N«O IMOBILIZµVEL;00150.001362/2018-31.R.08.26/12/2018.31/12/2022.N
18/01/2019;SERV.DE APOIO ADMIN.,TECNICO E OPERACIONAL;00150.001362/2018-31.R.08.26/12/2018.31/12/2022.N
11/01/2019;SERV.DE APOIO ADMIN.,TECNICO E OPERACIONAL;00150.001362/2018-31.R.08.26/12/2018.31/12/2022.N
11/01/2019;SERV.DE APOIO ADMIN.,TECNICO E OPERACIONAL;00150.001362/2018-31.R.08.26/12/2018.31/12/2022.N
11/01/2019;SERV.DE APOIO ADMIN.,TECNICO E OPERACIONAL;00150.001362/2018-31.R.08.26/12/2018.31/12/2022.N
11/01/2019;SERV.DE APOIO ADMIN.,TECNICO E OPERACIONAL;00150.001362/2018-31.R.08.26/12/2018.31/12/2022.N
11/01/2019;SERV.DE APOIO ADMIN.,TECNICO E OPERACIONAL;00150.001362/2018-31.R.08.26/12/2018.31/12/2022.N
11/01/2019;SERV.DE APOIO ADMIN.,TECNICO E OPERACIONAL;00150.001362/2018-31.R.08.26/12/2018.31/12/2022.N
08/01/2019;SERV.DE APOIO ADMIN.,TECNICO E OPERACIONAL;00150.001371/2018-22.R.08.28/12/2018.31/12/2022.N
08/01/2019;SERV.DE APOIO ADMIN.,TECNICO E OPERACIONAL;00150.001371/2018-22.R.08.28/12/2018.31/12/2022.N
08/01/2019;SERV.DE APOIO ADMIN.,TECNICO E OPERACIONAL;00150.001371/2018-22.R.08.28/12/2018.31/12/2022.N
08/01/2019;SERV.DE APOIO ADMIN.,TECNICO E OPERACIONAL;00150.001371/2018-22.R.08.28/12/2018.31/12/2022.N
08/01/2019;SERV.DE APOIO ADMIN.,TECNICO E OPERACIONAL;00150.001371/2018-22.R.08.28/12/2018.31/12/2022.N
08/01/2019;SERV.DE APOIO ADMIN.,TECNICO E OPERACIONAL;00150.001371/2018-22.R.08.28/12/2018.31/12/2022.N
21/01/2019;SERVIÄOS DE TELECOMUNICAÄÂES;00150.001371/2018-22.R.08.28/12/2018.31/12/2022.N
04/01/2019;HOSPEDAGENS;00150.001371/2018-22.R.08.28/12/2018.31/12/2022.N
22/01/2019;HOSPEDAGENS;00150.001371/2018-22.R.08.28/12/2018.31/12/2022.N
22/01/2019;HOSPEDAGENS;00150.001371/2018-22.R.08.28/12/2018.31/12/2022.N
25/01/2019;HOSPEDAGENS;00150.001371/2018-22.R.08.28/12/2018.31/12/2022.N
16/01/2019;HOSPEDAGENS;00150.001371/2018-22.R.08.28/12/2018.31/12/2022.N
24/01/2019;HOSPEDAGENS;00150.001371/2018-22.R.08.28/12/2018.31/12/2022.N
24/01/2019;HOSPEDAGENS;00150.001371/2018-22.R.08.28/12/2018.31/12/2022.N
24/01/2019;HOSPEDAGENS;00150.001371/2018-22.R.08.28/12/2018.31/12/2022.N
21/01/2019;HOSPEDAGENS;00150.001371/2018-22.R.08.28/12/2018.31/12/2022.N
23/01/2019;HOSPEDAGENS;00150.001371/2018-22.R.08.28/12/2018.31/12/2022.N
23/01/2019;HOSPEDAGENS;00150.001371/2018-22.R.08.28/12/2018.31/12/2022.N
23/01/2019;HOSPEDAGENS;00150.001371/2018-22.R.08.28/12/2018.31/12/2022.N
14/01/2019;HOSPEDAGENS;00150.001371/2018-22.R.08.28/12/2018.31/12/2022.N
14/01/2019;HOSPEDAGENS;00150.001371/2018-22.R.08.28/12/2018.31/12/2022.N
14/01/2019;HOSPEDAGENS;00150.001371/2018-22.R.08.28/12/2018.31/12/2022.N
14/01/2019;HOSPEDAGENS;00150.001371/2018-22.R.08.28/12/2018.31/12/2022.N
15/01/2019;HOSPEDAGENS;00150.001371/2018-22.R.08.28/12/2018.31/12/2022.N
